,car.twist.twist.linear.x,car.twist.twist.linear.y,ball.RelativePosition.position.x,ball.RelativePosition.position.y,ball.RelativePosition.position.z,ball.angular_velocity.x,ball.angular_velocity.y,ball.angular_velocity.z,ball.linear_acceleration.x,ball.linear_acceleration.y,ball.linear_acceleration.z,ball.RelativeVel.x,ball.RelativeVel.y,ball.RelativeVel.z,ball.EnergySum,controlSignal.cmd.linear.x,controlSignal.cmd.linear.y,controlSignal.cmd.twist.x,controlSignal.cmd.twist.y
1328,-2.60015037281,2.56093752004e-05,-0.08786256452739999,0.00513362550813,0.0405597835959,-6.64986532194,1.4279293359600003,-6.650295913350001,-0.9752325542389999,-0.009788987242590001,2.2777217515,-0.13797400270000004,0.1071506453527996,0.0515375177461,0.4140729802178253,-2.6,0.0,0.0,0.0
1329,-2.60001046793,6.872824819589999e-06,-0.09060220354589998,0.00702542880341,0.041496939615,-0.8625967696250001,-1.25051348258,-4.772435097130001,-1.4620132861000001,1.00651723017,1.82078093648,-0.11832585157999986,0.10447835474718041,0.0457596921538,0.4201753498214102,-2.6,0.0,0.0,0.0
1330,-2.60012940281,6.86432282358e-05,-0.09107935456319999,0.00762749156546,0.0417342076664,0.227990393013,-1.54805523603,-3.83841879089,-1.3074735367299999,1.07921466603,1.7142689941100002,-0.05362460533000002,0.1022364258067642,0.0299500649137,0.41610768085415756,-2.6,0.0,0.0,0.0
1331,-2.6000199401599997,5.38385644592e-05,-0.09072076036589999,0.00970469998381,0.041704528252,4.81335643141,-2.29816120966,-0.10469830385199999,-0.9099435189899999,1.12528398479,1.6228701802,-0.032774407320000254,0.09720776352494079,0.017781387447599998,0.41412422127172993,-2.6,0.0,0.0,0.0
1332,-2.6002124383200003,3.16560200343e-05,-0.09008576848210001,0.010173410705700001,0.0414823349964,5.88585576333,-2.42349638972,0.38424215331100003,-0.7444582323729999,1.3752519612,1.6395006265799998,0.055669261940000325,0.08486903773176571,-0.018162947824,0.4118427394467788,-2.6,0.0,0.0,0.0
1333,-2.6000138342700003,7.14045598864e-05,-0.08694454103119999,0.0114747987329,0.040492333348199995,10.8142947747,-1.5279064288100002,0.666507104165,-0.957248168158,0.655561164069,2.07157306577,0.07555440833000038,0.08466962062671361,-0.0277156539195,0.4036476521860367,-2.6,0.0,0.0,0.0
1334,-2.60024976503,-3.14872883607e-06,-0.0854843359297,0.011812186484900001,0.0400504379819,12.450804251500001,-1.0480182193,-0.42560337228399997,-0.71119396838,0.268431251246,2.62865793121,0.15844835686000014,0.06715249785223608,-0.044577340678599996,0.4082955317533223,-2.6,0.0,0.0,0.0
1335,-2.60022863708,-4.81486498862e-06,-0.0838302883878,0.012102504386100001,0.0395482902498,13.6126839617,-0.637008014287,-1.88880577307,-0.312957538228,0.6711014213680001,2.18356241471,0.1758748676399997,0.06264530358688862,-0.0569887091956,0.40662530250037077,-2.6,0.0,0.0,0.0
1336,-2.60001850235,-9.23357463992e-05,-0.0753133205025,0.0128525404456,0.0370989367781,14.1362550916,0.925917174059,-11.837362677,-3.61829597898,5.99497513219,-3.0703313091699997,0.19498559670000004,0.05845902633439919,-0.0634738989004,0.3863024686863996,-2.6,0.0,0.0,0.0
1337,-2.59937851785,0.000291897098427,-0.060802631392800004,0.0129359320282,0.033782974054299995,-0.24089827778499998,3.1809458209,-22.6288267345,5.38065286022,-2.23057860251,0.013088329167899999,0.3255510631299998,0.025764521326973003,-0.0723907237651,0.3870170068078981,-2.6,0.0,0.0,0.0
1338,-2.60002687401,5.00885693562e-05,-0.046799407438400005,0.0122610162548,0.0314944931426,-22.382045999299997,5.5722261388100005,-11.918436421700001,1.1274480118,0.0993368207028,-1.14897144936,0.3398807074500003,0.0209337681583438,-0.0605165093051,0.3684557157197272,-2.6,0.0,0.0,0.0
1339,-2.60028393151,-6.77010392161e-06,-0.040841827618900005,0.011998152391899998,0.0310744529237,-24.676213969299997,5.86120563531,-7.09282218053,0.383915189363,0.9184600177779999,0.6540392706570001,0.3786884701600002,-0.0005379617655933899,-0.0360201292669,0.3768809869259534,-2.6,0.0,0.0,0.0
1340,-2.6000444247599996,4.73044208988e-05,-0.0392508024097,0.0116120727061,0.030635935695199998,-26.017611859400002,6.08186387729,-1.04969471692,0.566472682393,0.526433200484,0.07345757267269999,0.38435298016999964,-0.0069058696556188,-0.0326865642718,0.37465382775553757,-2.6,0.0,0.0,0.0
1341,-2.6000333328,4.85917764052e-05,-0.0235763494012,0.00976421928588,0.0297589994086,-14.138217153900001,3.79281371786,23.2389485095,-7.02896916079,-1.3750093854700003,-4.43033814925,0.38879262852999963,-0.013801487440705197,-0.0195447354498,0.36750428707360244,-2.6,0.0,0.0,0.0
1342,-2.60029102153,-7.142393165680001e-06,-0.007855770119359999,0.00749697910642,0.030039853712400002,15.765463307300001,0.12214527144500001,21.8315119505,-5.79208465111,-1.63423704767,3.8197789252499996,0.39597123828,-0.017586067104234323,-0.0037576390788,0.37294887195783893,-2.6,0.0,0.0,0.0
1343,-2.6002768145900004,-8.21635743552e-06,-0.00402475530396,0.00683538221837,0.030286549533700004,20.464526263,-0.568821614493,16.6426260393,-4.97851428669,-1.9019968999099999,5.65752476098,0.38486429454000026,-0.03393113708976448,0.023988757754900003,0.37173183931755993,-2.6,0.0,0.0,0.0
1344,-2.5996846698800002,-0.000130552992037,0.0105504677499,0.0041297221195600005,0.0318945537877,23.4919398581,0.4726924659,-6.20943514839,-0.6916433631059999,-0.433980498331,-1.38024912312,0.3436192100900004,-0.039452082131763,0.0500849015013,0.3736361899623611,-2.6,0.0,0.0,0.0
1345,-2.59969485967,-0.000136385329341,0.026237905643500002,0.0006594077881219999,0.0348544979742,5.60499946656,5.00885287774,-18.61170305,3.6071461639199995,-3.0434430062800004,0.865186150749,0.3299181069499997,-0.036327256296358995,0.0683926040815,0.3989956677154308,-2.6,0.0,0.0,0.0
1346,-2.59956272213,0.000241596260468,0.028939658132599997,-5.33797627012e-05,0.0354440206084,2.3845455788599996,5.99116668281,-18.1708923216,5.14855987105,-3.4844332745999997,0.215222592474,0.2767155523000002,-0.036433144584768005,0.0611765446816,0.3881721222264243,-2.6,0.0,0.0,0.0
